2025-12-26 22:57:28 | ERROR    | download.downloader:download_report:98 - ❌ 下载失败: 稳定币+RWA真实世界资产研究报告：跃向数字金融3.0（30页）
2025-12-26 22:57:28 | ERROR    | core.http_client:download_file:171 - ❌ 下载失败: ❌ 请求失败，已重试 1 次: https://ipo.ai-tag.cn/2025/06/202506271001294918097.zip
2025-12-26 22:57:28 | ERROR    | download.downloader:download_report:98 - ❌ 下载失败: 中国的养老保险基金投资管理现状与前景展望报告（20页）
2025-12-26 22:57:28 | ERROR    | core.http_client:download_file:171 - ❌ 下载失败: ❌ 请求失败，已重试 1 次: https://ipo.ai-tag.cn/2025/06/202506251422394231772.zip
2025-12-26 22:57:28 | ERROR    | download.downloader:download_report:98 - ❌ 下载失败: 稳定币专题报告：香港监管框架下的机遇与挑战（25页）
2025-12-26 22:57:29 | ERROR    | core.http_client:download_file:171 - ❌ 下载失败: ❌ 请求失败，已重试 1 次: https://ipo.ai-tag.cn/2025/06/202506251426016217942.zip
2025-12-26 22:57:29 | ERROR    | download.downloader:download_report:98 - ❌ 下载失败: 银行行业报告：新规过渡尚存调整空间（30页）
2025-12-26 22:57:29 | ERROR    | core.http_client:download_file:171 - ❌ 下载失败: ❌ 请求失败，已重试 1 次: https://ipo.ai-tag.cn/2025/06/202506241352075190266.zip
2025-12-26 22:57:29 | ERROR    | download.downloader:download_report:98 - ❌ 下载失败: 中国银行业调查报告（231页）
2025-12-26 22:57:29 | ERROR    | core.http_client:download_file:171 - ❌ 下载失败: ❌ 请求失败，已重试 1 次: https://ipo.ai-tag.cn/2025/06/202506230947405366922.zip
2025-12-26 22:57:29 | ERROR    | download.downloader:download_report:98 - ❌ 下载失败: 保险行业专题报告：估值驱动主要来自资产端（21页）
2025-12-26 22:57:29 | ERROR    | core.http_client:download_file:171 - ❌ 下载失败: ❌ 请求失败，已重试 1 次: https://ipo.ai-tag.cn/2025/06/202506181013312775337.zip
2025-12-26 22:57:29 | ERROR    | download.downloader:download_report:98 - ❌ 下载失败: 稳定币研究报告：稳定币法案落地（32页）
2025-12-26 22:57:29 | ERROR    | core.http_client:download_file:171 - ❌ 下载失败: ❌ 请求失败，已重试 1 次: https://ipo.ai-tag.cn/2025/06/202506171146147718455.zip
2025-12-26 22:57:29 | ERROR    | download.downloader:download_report:98 - ❌ 下载失败: 银行业稳息差、稳信用与银行投资展望报告（22页）
2025-12-26 22:57:29 | ERROR    | core.http_client:download_file:171 - ❌ 下载失败: ❌ 请求失败，已重试 1 次: https://ipo.ai-tag.cn/2025/06/202506171147431147388.zip
2025-12-26 22:57:29 | ERROR    | download.downloader:download_report:98 - ❌ 下载失败: 财富管理行业报告：财富管理新时代（36页）
2025-12-26 22:57:30 | ERROR    | core.http_client:download_file:171 - ❌ 下载失败: ❌ 请求失败，已重试 1 次: https://ipo.ai-tag.cn/2025/06/202506111521187125184.zip
2025-12-26 22:57:30 | ERROR    | download.downloader:download_report:98 - ❌ 下载失败: 中国供应链金融科技行业蓝皮书（31页）
2025-12-26 22:57:30 | ERROR    | core.http_client:download_file:171 - ❌ 下载失败: ❌ 请求失败，已重试 1 次: https://ipo.ai-tag.cn/2025/06/202506041151315525674.zip
2025-12-26 22:57:30 | ERROR    | download.downloader:download_report:98 - ❌ 下载失败: 中国互联网保险消费者洞察报告（74页）
